id,name,main_ocid,main_id,awards_id
861946, (AGRI EXPERTS JV),ocds-9t57fa-112650,ocds-9t57fa-112650-2020-07-10T00:00:00Z,41506
0,SIZA KANCANE TRADING ENTERPRISE 113,ocds-9t57fa-41437,ocds-9t57fa-41437-2020-02-14T00:00:00Z,6108
0,MULIPFI TRADING AND PROJECTS,ocds-9t57fa-44998,ocds-9t57fa-44998-2020-10-09T00:00:00Z,7284
6822,REONET,ocds-9t57fa-141100,ocds-9t57fa-141100-2020-01-17T00:00:00Z,61102
42670, (EZINGENI SECURITY AND CLEANING),ocds-9t57fa-100640,ocds-9t57fa-100640-2020-07-16T00:00:00Z,38304
94627,FIRSTRAND BANK,ocds-9t57fa-130440,ocds-9t57fa-130440-2020-12-01T00:00:00Z,52644
0,Brilliant Telecommunications,ocds-9t57fa-31298,ocds-9t57fa-31298-2020-02-14T00:00:00Z,4211
0,MUTODO PROPERTIES,ocds-9t57fa-44329,ocds-9t57fa-44329-2020-10-09T00:00:00Z,7106
44443,MXN ELECTROCON PROJECTS,ocds-9t57fa-141115,ocds-9t57fa-141115-2020-11-13T00:00:00Z,61060
13009,FARANANI DOCTEC,ocds-9t57fa-151325,ocds-9t57fa-151325-2020-11-13T00:00:00Z,65582
815545,BZ FARMING,ocds-9t57fa-100687,ocds-9t57fa-100687-2020-07-24T00:00:00Z,34502
1113664,SECURITY CONSORTIUM SA,ocds-9t57fa-127789,ocds-9t57fa-127789-2020-01-05T00:00:00Z,51383
0,ZACK'S BUSINESS ENTERPRISES,ocds-9t57fa-31495,ocds-9t57fa-31495-2020-09-23T00:00:00Z,4219
0,ALTRON TMT,ocds-9t57fa-44996,ocds-9t57fa-44996-2020-08-21T00:00:00Z,7280
0,WAMA BUSINESS ENTERPRISE,ocds-9t57fa-45037,ocds-9t57fa-45037-2020-10-09T00:00:00Z,7321
167478,TRIAKON ENGINEERING,ocds-9t57fa-141129,ocds-9t57fa-141129-2020-11-12T00:00:00Z,61061
218795,SISE MZANSI TRADING ENTERPRISE,ocds-9t57fa-108207,ocds-9t57fa-108207-2020-10-23T00:00:00Z,38355
9192, VODACOM,ocds-9t57fa-116998,ocds-9t57fa-116998-2020-03-17T00:00:00Z,44636
0,Baraka Enterprise Consulting,ocds-9t57fa-32088,ocds-9t57fa-32088-2020-02-14T00:00:00Z,14572
73784,RED ALERT TSS,ocds-9t57fa-152537,ocds-9t57fa-152537-2020-10-01T00:00:00Z,66289
