id,title,description,status,value_amount,value_currency,main_ocid,main_id
41506, (AGRI EXPERTS JV),EME,active,2940751250.0,ZAR,ocds-9t57fa-112650,ocds-9t57fa-112650-2020-07-10T00:00:00Z
6108,SIZA KANCANE TRADING ENTERPRISE 113,EME,active,0.0,ZAR,ocds-9t57fa-41437,ocds-9t57fa-41437-2020-02-14T00:00:00Z
7284,MULIPFI TRADING AND PROJECTS,EME,active,0.0,ZAR,ocds-9t57fa-44998,ocds-9t57fa-44998-2020-10-09T00:00:00Z
61102,REONET,EME,active,10.0,ZAR,ocds-9t57fa-141100,ocds-9t57fa-141100-2020-01-17T00:00:00Z
38304, (EZINGENI SECURITY AND CLEANING),EME,active,412965000.0,ZAR,ocds-9t57fa-100640,ocds-9t57fa-100640-2020-07-16T00:00:00Z
52644,FIRSTRAND BANK,GEN,active,266327810.0,ZAR,ocds-9t57fa-130440,ocds-9t57fa-130440-2020-12-01T00:00:00Z
4211,Brilliant Telecommunications,GEN,active,0.0,ZAR,ocds-9t57fa-31298,ocds-9t57fa-31298-2020-02-14T00:00:00Z
7106,MUTODO PROPERTIES,EME,active,0.0,ZAR,ocds-9t57fa-44329,ocds-9t57fa-44329-2020-10-09T00:00:00Z
61060,MXN ELECTROCON PROJECTS,EME,active,450941910.0,ZAR,ocds-9t57fa-141115,ocds-9t57fa-141115-2020-11-13T00:00:00Z
65582,FARANANI DOCTEC,EME,active,474439950.0,ZAR,ocds-9t57fa-151325,ocds-9t57fa-151325-2020-11-13T00:00:00Z
34502,BZ FARMING,EME,active,0.0,ZAR,ocds-9t57fa-100687,ocds-9t57fa-100687-2020-07-24T00:00:00Z
51383,SECURITY CONSORTIUM SA,EME,active,5731600.0,ZAR,ocds-9t57fa-127789,ocds-9t57fa-127789-2020-01-05T00:00:00Z
4219,ZACK'S BUSINESS ENTERPRISES,QSE,active,0.0,ZAR,ocds-9t57fa-31495,ocds-9t57fa-31495-2020-09-23T00:00:00Z
7280,ALTRON TMT,EME,active,0.0,ZAR,ocds-9t57fa-44996,ocds-9t57fa-44996-2020-08-21T00:00:00Z
7321,WAMA BUSINESS ENTERPRISE,EME,active,0.0,ZAR,ocds-9t57fa-45037,ocds-9t57fa-45037-2020-10-09T00:00:00Z
61061,TRIAKON ENGINEERING,EME,active,380774688.0,ZAR,ocds-9t57fa-141129,ocds-9t57fa-141129-2020-11-12T00:00:00Z
38355,SISE MZANSI TRADING ENTERPRISE,EME,active,0.0,ZAR,ocds-9t57fa-108207,ocds-9t57fa-108207-2020-10-23T00:00:00Z
44636, VODACOM,EME,active,285949347.0,ZAR,ocds-9t57fa-116998,ocds-9t57fa-116998-2020-03-17T00:00:00Z
14572,Baraka Enterprise Consulting,GEN,active,0,ZAR,ocds-9t57fa-32088,ocds-9t57fa-32088-2020-02-14T00:00:00Z
66289,RED ALERT TSS,EME,active,2114735.0,ZAR,ocds-9t57fa-152537,ocds-9t57fa-152537-2020-10-01T00:00:00Z
