id,name,main_ocid,main_id,awards_id
0,RAALEBBORG ENVIRONMENTAL,ocds-9t57fa-49185,ocds-9t57fa-49185-2023-03-17T00:00:00Z,13051
0,LAST SAMURAI PROPERTY HOLDINGS 2,ocds-9t57fa-49437,ocds-9t57fa-49437-2023-03-17T00:00:00Z,13882
0,NSI GEOMATICS,ocds-9t57fa-49401,ocds-9t57fa-49401-2023-03-17T00:00:00Z,13000
935093, (SKHUNYANA TRAINING CONSULTANTS),ocds-9t57fa-49672,ocds-9t57fa-49672-2023-03-18T00:00:00Z,27274
1317902, (R R N REMOVALS),ocds-9t57fa-77670,ocds-9t57fa-77670-2023-12-19T00:00:00Z,30608
0,EXEO KHOKELA CIVIL ENGINEERING CONSTRUCTION,ocds-9t57fa-77686,ocds-9t57fa-77686-2023-12-21T00:00:00Z,23696
0,MAJALISA ONKE CONSTRUCTION AND TRADING,ocds-9t57fa-44042,ocds-9t57fa-44042-2023-01-05T00:00:00Z,14308
0,SAKHIMTHE CIVIL CONSTRUCTION,ocds-9t57fa-44073,ocds-9t57fa-44073-2023-01-05T00:00:00Z,20074
0,aQmetriq,ocds-9t57fa-44079,ocds-9t57fa-44079-2023-01-06T00:00:00Z,9991
0,Prestige Conferences,ocds-9t57fa-44413,ocds-9t57fa-44413-2023-01-13T00:00:00Z,10985
0,UHAMBO PROCUREMENT AND DISTRIBUTION,ocds-9t57fa-45278,ocds-9t57fa-45278-2023-01-27T00:00:00Z,9902
0,Rain Chartered Accountants,ocds-9t57fa-45309,ocds-9t57fa-45309-2023-01-27T00:00:00Z,11814
0,WE RENDER,ocds-9t57fa-45676,ocds-9t57fa-45676-2023-02-03T00:00:00Z,16593
0,Prana Water and Sanitation,ocds-9t57fa-46045,ocds-9t57fa-46045-2023-02-10T00:00:00Z,12115
0,BERNINA JENNIFER AFRICA,ocds-9t57fa-46061,ocds-9t57fa-46061-2023-02-10T00:00:00Z,13055
0,LEGACY MARINE,ocds-9t57fa-46071,ocds-9t57fa-46071-2023-02-10T00:00:00Z,10769
0,HLT Advisors,ocds-9t57fa-46658,ocds-9t57fa-46658-2023-02-17T00:00:00Z,12584
0,Khulangwane Trading,ocds-9t57fa-46773,ocds-9t57fa-46773-2023-02-17T00:00:00Z,12200
0,KROMPOORT GAME RESERVE,ocds-9t57fa-46808,ocds-9t57fa-46808-2023-02-17T00:00:00Z,11371
0,NMI DURBAN SOUTH MOTORS,ocds-9t57fa-46814,ocds-9t57fa-46814-2023-02-17T00:00:00Z,11512
0,ULTIMATE VACUUM SOLUTIONS,ocds-9t57fa-46846,ocds-9t57fa-46846-2023-02-17T00:00:00Z,13779
0,GOGONTLE SECURITY AND MAINTANANCY SERVICES,ocds-9t57fa-46877,ocds-9t57fa-46877-2023-02-17T00:00:00Z,15219
0,GPA CONSULTING AND TRAINING,ocds-9t57fa-47519,ocds-9t57fa-47519-2023-02-24T00:00:00Z,20870
54204, (ATLANTIS CORPORATE TRAVEL),ocds-9t57fa-47516,ocds-9t57fa-47516-2023-02-24T00:00:00Z,30035
346534, (ABBOTT LABORATORIES SOUTH AFRICA),ocds-9t57fa-47542,ocds-9t57fa-47542-2023-02-24T00:00:00Z,28080
0,IBHUNGA CLEANING AND BRICKS PAVING AND PAINTING,ocds-9t57fa-48128,ocds-9t57fa-48128-2023-03-03T00:00:00Z,13805
0,EOH MTHOMBO,ocds-9t57fa-48159,ocds-9t57fa-48159-2023-03-03T00:00:00Z,14595
0,COLAS SOUTH AFRICA,ocds-9t57fa-49469,ocds-9t57fa-49469-2023-03-17T00:00:00Z,18591
0,AC INDUSTRIAL SALES AND SERVICES,ocds-9t57fa-49494,ocds-9t57fa-49494-2023-03-17T00:00:00Z,16612
0,MOEVENTS TRADING,ocds-9t57fa-49616,ocds-9t57fa-49616-2023-03-17T00:00:00Z,12858
0,DEBTMANAGER,ocds-9t57fa-50017,ocds-9t57fa-50017-2023-03-24T00:00:00Z,24850
367823, (PRIMETIME STUDIOS),ocds-9t57fa-50144,ocds-9t57fa-50144-2023-03-24T00:00:00Z,28425
0,SANDILE STATIONERS,ocds-9t57fa-50667,ocds-9t57fa-50667-2023-02-17T00:00:00Z,9829
0,KAI MA SERVICES,ocds-9t57fa-50890,ocds-9t57fa-50890-2023-03-31T00:00:00Z,13691
0,Seers Corp,ocds-9t57fa-50898,ocds-9t57fa-50898-2023-03-31T00:00:00Z,16868
0,ALUTE SA,ocds-9t57fa-50961,ocds-9t57fa-50961-2023-03-31T00:00:00Z,20570
0,Enviro Metsi,ocds-9t57fa-51014,ocds-9t57fa-51014-2023-03-31T00:00:00Z,15907
0,CARBONCOR DISTRIBUTION SOUTH AFRICA,ocds-9t57fa-51859,ocds-9t57fa-51859-2023-04-14T00:00:00Z,13933
0,STEPHANUS NEL,ocds-9t57fa-51869,ocds-9t57fa-51869-2023-04-14T00:00:00Z,13891
