id,name,main_ocid,main_id,tender_id
16085,Exeo Khokela Civil Engineering Construction Pty Ltd,ocds-9t57fa-77686,ocds-9t57fa-77686-2023-12-21T00:00:00Z,77686
8063,LEGACY MARINE,ocds-9t57fa-46071,ocds-9t57fa-46071-2023-02-10T00:00:00Z,46071
10740,Kulungwana Petroleum,ocds-9t57fa-46174,ocds-9t57fa-46174-2023-02-10T00:00:00Z,46174
10404,ULTIMATE ,ocds-9t57fa-46846,ocds-9t57fa-46846-2023-02-17T00:00:00Z,46846
10686,Eagle Security Systems Western Cape (Pty) Ltd t/a Eagle Security,ocds-9t57fa-48809,ocds-9t57fa-48809-2023-03-10T00:00:00Z,48809
18669,"Bone Media, Charter Media; Deevine Group; Ditshego Media; Enhle Creatives; Entshaveni Solutions; Eyelisen Media; Gauteng News; Hopewave Media; Just Shoot Me Video Productions; JZ van Loggenberg Multimedia; Mondise Business Service; Primetime Studios; Ramogogole Trading Projects; Sono Akani Ventures",ocds-9t57fa-50144,ocds-9t57fa-50144-2023-03-24T00:00:00Z,50144
10699,Memotek Trading CC,ocds-9t57fa-50789,ocds-9t57fa-50789-2023-03-30T00:00:00Z,50789
14277,Tshireletso Multi-skills and Training (Pty) Ltd,ocds-9t57fa-50961,ocds-9t57fa-50961-2023-03-31T00:00:00Z,50961
9644,Business Connexion,ocds-9t57fa-51010,ocds-9t57fa-51010-2023-03-31T00:00:00Z,51010
11975,CCG Systems (Pty) Ltd Fri 2023/04/21  10:57 R428 036.64 2. OS Holdings (Pty) Ltd Fri 2023/04/21  10:51 R275 431.14,ocds-9t57fa-51881,ocds-9t57fa-51881-2023-04-14T00:00:00Z,51881
10218,1.Masahange Trading and Projects  	R1 257 908.30,ocds-9t57fa-52554,ocds-9t57fa-52554-2023-04-21T00:00:00Z,52554
10664,Flo Specialised Product Solutions CC,ocds-9t57fa-53530,ocds-9t57fa-53530-2023-05-05T00:00:00Z,53530
10110,Enterprise University of Pretoria (Pty) Ltd,ocds-9t57fa-53571,ocds-9t57fa-53571-2023-05-05T00:00:00Z,53571
9966,Non responsive (No bids received),ocds-9t57fa-54145,ocds-9t57fa-54145-2023-05-12T00:00:00Z,54145
11767,Kindly find the attached list of bidders,ocds-9t57fa-59553,ocds-9t57fa-59553-2023-07-07T00:00:00Z,59553
12563,Naledzi Technologies ,ocds-9t57fa-64941,ocds-9t57fa-64941-2023-08-25T00:00:00Z,64941
19858,Afrocentric Intellectual Property (Pty) Ltd,ocds-9t57fa-68729,ocds-9t57fa-68729-2023-09-29T00:00:00Z,68729
14276,Maxal Projects SA (Pty)Ltd,ocds-9t57fa-69279,ocds-9t57fa-69279-2023-10-05T00:00:00Z,69279
