id,url,title,format,language,description,dateModified,documentType,datePublished,main_ocid,main_id,tender_id
e2c33a84-44ab-4fd5-ab37-b4cb0cd4ffa5,https://www.etenders.gov.za/home/Download?blobName=e2c33a84-44ab-4fd5-ab37-b4cb0cd4ffa5.pdf&downloadedFileName=CSD%20-%20Tata%20Waste.pdf,CSD - Tata Waste.pdf,pdf,en,CSD - Tata Waste.pdf,2024-10-16T15:43:54Z,basic,2024-10-16T15:43:54Z,ocds-9t57fa-105086,ocds-9t57fa-105086-2021-04-08T00:00:00Z,105086
c0984e40-d4e4-44fe-894d-60287925cc85,https://www.etenders.gov.za/home/Download?blobName=c0984e40-d4e4-44fe-894d-60287925cc85.pdf&downloadedFileName=SKM_C650i25052010450.pdf,SKM_C650i25052010450.pdf,pdf,en,SKM_C650i25052010450.pdf,2025-05-20T11:37:51Z,basic,2025-05-20T11:37:51Z,ocds-9t57fa-122728,ocds-9t57fa-122728-2021-03-12T00:00:00Z,122728
66ca3534-34ba-4ff7-a66c-037cf48040a5,https://www.etenders.gov.za/home/Download?blobName=66ca3534-34ba-4ff7-a66c-037cf48040a5.docx&downloadedFileName=ANNEXURE%204%20PERFORMANCE%20BOND%20Tender%2029.docx,ANNEXURE 4 PERFORMANCE BOND Tender 29.docx,docx,en,ANNEXURE 4 PERFORMANCE BOND Tender 29.docx,2021-12-15T04:01:26Z,basic,2021-12-15T04:01:26Z,ocds-9t57fa-14259,ocds-9t57fa-14259-2021-12-15T00:00:00Z,14259
57b90653-64c3-4c5e-80d5-45cbefe7bba3,https://www.etenders.gov.za/home/Download?blobName=57b90653-64c3-4c5e-80d5-45cbefe7bba3.pdf&downloadedFileName=Updated%20Bid%20Document.pdf,Updated Bid Document.pdf,pdf,en,Updated Bid Document.pdf,2022-01-27T10:24:32Z,basic,2022-01-27T10:24:32Z,ocds-9t57fa-14261,ocds-9t57fa-14261-2021-12-15T00:00:00Z,14261
ed27ebb5-e1e2-4124-8cee-10622277cfde,https://www.etenders.gov.za/home/Download?blobName=ed27ebb5-e1e2-4124-8cee-10622277cfde.xlsx&downloadedFileName=BoQ%20ERI%20Training%20Academy%20-BMS.xlsx,BoQ ERI Training Academy -BMS.xlsx,xlsx,en,BoQ ERI Training Academy -BMS.xlsx,2022-01-13T05:35:26Z,basic,2022-01-13T05:35:26Z,ocds-9t57fa-14270,ocds-9t57fa-14270-2021-12-15T00:00:00Z,14270
4c627eaa-1806-4cd0-9757-397dc27b0555,https://www.etenders.gov.za/home/Download?blobName=4c627eaa-1806-4cd0-9757-397dc27b0555.pdf&downloadedFileName=TENDER%20DOCUMENT%20FOR%20THE%20PANEL%20OF%20LEGAL%20ATTORNEYS%20%208-2-1-459.pdf,TENDER DOCUMENT FOR THE PANEL OF LEGAL ATTORNEYS  8-2-1-459.pdf,pdf,en,TENDER DOCUMENT FOR THE PANEL OF LEGAL ATTORNEYS  8-2-1-459.pdf,2021-12-15T09:05:05Z,basic,2021-12-15T09:05:05Z,ocds-9t57fa-14276,ocds-9t57fa-14276-2021-12-15T00:00:00Z,14276
45c2f6c9-26c5-4d5c-82ef-0233592f0689,https://www.etenders.gov.za/home/Download?blobName=45c2f6c9-26c5-4d5c-82ef-0233592f0689.pdf&downloadedFileName=NW-DSD-30-2021%20Bid%20Doc.pdf,NW-DSD-30-2021 Bid Doc.pdf,pdf,en,NW-DSD-30-2021 Bid Doc.pdf,2021-12-15T09:49:08Z,basic,2021-12-15T09:49:08Z,ocds-9t57fa-14281,ocds-9t57fa-14281-2021-12-15T00:00:00Z,14281
f898144d-5687-491d-95a3-54d465e6e42a,https://www.etenders.gov.za/home/Download?blobName=f898144d-5687-491d-95a3-54d465e6e42a.pdf&downloadedFileName=TENDER%20DOC%20REFUSE%20REMOVAL%208-2-1-204%20RE-%20ADVERTISEMENT.pdf,TENDER DOC REFUSE REMOVAL 8-2-1-204 RE- ADVERTISEMENT.pdf,pdf,en,TENDER DOC REFUSE REMOVAL 8-2-1-204 RE- ADVERTISEMENT.pdf,2021-12-17T09:16:22Z,basic,2021-12-17T09:16:22Z,ocds-9t57fa-14288,ocds-9t57fa-14288-2021-12-15T00:00:00Z,14288
5038b1b8-2ebd-478c-899a-05f83699f706,https://www.etenders.gov.za/home/Download?blobName=5038b1b8-2ebd-478c-899a-05f83699f706.pdf&downloadedFileName=AgriSETA%20Office%20Rental%20%20Bid%20document.pdf,AgriSETA Office Rental  Bid document.pdf,pdf,en,AgriSETA Office Rental  Bid document.pdf,2021-12-15T13:26:42Z,basic,2021-12-15T13:26:42Z,ocds-9t57fa-14308,ocds-9t57fa-14308-2021-12-15T00:00:00Z,14308
133969d5-6598-49f9-9ec9-a40afb5d87b0,https://www.etenders.gov.za/home/Download?blobName=133969d5-6598-49f9-9ec9-a40afb5d87b0.pdf&downloadedFileName=Bid%20document%20for%20Process%20Engineering%20Services%20for%20the%20construction%20of%20Foot%20and%20Mouth%20Disease%20Vaccine%20Factory%2C%20ARC.30.12.2021%2C%20Final%20Document..pdf,"Bid document for Process Engineering Services for the construction of Foot and Mouth Disease Vaccine Factory, ARC.30.12.2021, Final Document..pdf",pdf,en,"Bid document for Process Engineering Services for the construction of Foot and Mouth Disease Vaccine Factory, ARC.30.12.2021, Final Document..pdf",2021-12-15T15:45:27Z,basic,2021-12-15T15:45:27Z,ocds-9t57fa-14331,ocds-9t57fa-14331-2021-12-15T00:00:00Z,14331
0c2687fa-960e-45b8-adfe-a3721042ea48,https://www.etenders.gov.za/home/Download?blobName=0c2687fa-960e-45b8-adfe-a3721042ea48.pdf&downloadedFileName=DEVIATION%20APPROVAL%20BY%20NT.pdf,DEVIATION APPROVAL BY NT.pdf,pdf,en,DEVIATION APPROVAL BY NT.pdf,2021-12-29T06:59:53Z,basic,2021-12-29T06:59:53Z,ocds-9t57fa-14430,ocds-9t57fa-14430-2021-12-29T00:00:00Z,14430
