id,name,main_ocid,main_id,awards_id
416280,REFILWE S K PRODUCTIONS,ocds-9t57fa-111066,ocds-9t57fa-111066-2024-12-14T00:00:00Z,51747
238484, Landini Eastern Cape Joint Venture,ocds-9t57fa-111175,ocds-9t57fa-111175-2024-12-14T00:00:00Z,43938
1323416, (ASCENG,ocds-9t57fa-111275,ocds-9t57fa-111275-2024-12-18T00:00:00Z,40144
983204,YATSHAMA IT AND STATIONERY,ocds-9t57fa-111351,ocds-9t57fa-111351-2024-12-24T00:00:00Z,52885
0,LETHAKIMI TRADING AND PROJECTS,ocds-9t57fa-82397,ocds-9t57fa-82397-2024-01-03T00:00:00Z,23426
20800, (DATACENTRIX,ocds-9t57fa-100099,ocds-9t57fa-100099-2024-08-29T00:00:00Z,45104
135690, (TURNER NTSHINGANA KIRSTEN RAVENS),ocds-9t57fa-100121,ocds-9t57fa-100121-2024-08-29T00:00:00Z,35773
25186,BARKLEY AND OATES,ocds-9t57fa-100178,ocds-9t57fa-100178-2024-08-30T00:00:00Z,39546
1046254,INHLANZEKO FACILITIES MANAGEMENT,ocds-9t57fa-100192,ocds-9t57fa-100192-2024-08-30T00:00:00Z,41401
241334, (TMT SERVICES AND SUPPLIES),ocds-9t57fa-100316,ocds-9t57fa-100316-2024-08-30T00:00:00Z,39543
717075, (HASHTAG MARKETING),ocds-9t57fa-100398,ocds-9t57fa-100398-2024-07-12T00:00:00Z,34989
40815, (SINOLWAZI 77 TRADING AND PROJECTS),ocds-9t57fa-101001,ocds-9t57fa-101001-2024-09-06T00:00:00Z,39135
1048730, INTERNATIONAL CONSERVATION SERVICES,ocds-9t57fa-101016,ocds-9t57fa-101016-2024-09-06T00:00:00Z,43979
829661,UAKONAZWOTHE ENTERPRISE,ocds-9t57fa-101023,ocds-9t57fa-101023-2024-09-06T00:00:00Z,50495
578938, (CYBERXPERTS),ocds-9t57fa-101159,ocds-9t57fa-101159-2024-09-06T00:00:00Z,40124
573591,AFRICAN SPEAR TRADING 139,ocds-9t57fa-101468,ocds-9t57fa-101468-2024-09-13T00:00:00Z,43064
1033295,BOLLE TECHNOLOGIES,ocds-9t57fa-101479,ocds-9t57fa-101479-2024-09-13T00:00:00Z,43092
3178, (NYALU COMMUNICATIONS),ocds-9t57fa-101486,ocds-9t57fa-101486-2024-09-13T00:00:00Z,42978
129407,SILVER STREAK TRADING 681,ocds-9t57fa-101513,ocds-9t57fa-101513-2024-09-13T00:00:00Z,43110
