id,name,main_ocid,main_id,tender_id
26213,MAAA1117731 - (YATSHAMA IT AND STATIONERY),ocds-9t57fa-111351,ocds-9t57fa-111351-2024-12-24T00:00:00Z,111351
21537,TNK Attorneys,ocds-9t57fa-100121,ocds-9t57fa-100121-2024-08-29T00:00:00Z,100121
22553,BARKLEY AND OATES,ocds-9t57fa-100178,ocds-9t57fa-100178-2024-08-30T00:00:00Z,100178
21746,Dataproof,ocds-9t57fa-101159,ocds-9t57fa-101159-2024-09-06T00:00:00Z,101159
25012,"Ntlanga Projects & Consulting, 4Matique, The Scientific Group, Q Point Group, ",ocds-9t57fa-101728,ocds-9t57fa-101728-2024-09-12T00:00:00Z,101728
22004,TSHIKO BUSINESS ENTERPRISES,ocds-9t57fa-102620,ocds-9t57fa-102620-2024-09-20T00:00:00Z,102620
22230,Wirsam Scientific and Precision Equipment (Pty) Ltd,ocds-9t57fa-105280,ocds-9t57fa-105280-2024-10-18T00:00:00Z,105280
24898,"Noni Luxembourg, Piezo Corp (Pty) Ltd, Infocus Technology, ",ocds-9t57fa-106158,ocds-9t57fa-106158-2024-10-25T00:00:00Z,106158
23837,Hire-Rite,ocds-9t57fa-106850,ocds-9t57fa-106850-2024-11-01T00:00:00Z,106850
22831, Malve MK (Pty) Ltd,ocds-9t57fa-109138,ocds-9t57fa-109138-2024-11-22T00:00:00Z,109138
24767,"Skylar Projects, Ori Professionals",ocds-9t57fa-109258,ocds-9t57fa-109258-2024-11-22T00:00:00Z,109258
23023,MAAA0741878 ,ocds-9t57fa-109834,ocds-9t57fa-109834-2024-11-29T00:00:00Z,109834
23064,MAAA1524955,ocds-9t57fa-110459,ocds-9t57fa-110459-2024-12-06T00:00:00Z,110459
15227,Ryden International Property Consultants,ocds-9t57fa-78739,ocds-9t57fa-78739-2024-01-19T00:00:00Z,78739
27275,MAAA0012432 - (PROFESSIONAL EVALUATION AND RESEARCH),ocds-9t57fa-80883,ocds-9t57fa-80883-2024-02-09T00:00:00Z,80883
17093,1. Ink Scribe Solutions (Pty) Ltd ,ocds-9t57fa-82624,ocds-9t57fa-82624-2024-02-23T00:00:00Z,82624
16150,Namlot Construction,ocds-9t57fa-82926,ocds-9t57fa-82926-2024-01-04T00:00:00Z,82926
18232,1. Superior Pressure Solutions (Pty) Ltd  2. Dup Air Compressors,ocds-9t57fa-86645,ocds-9t57fa-86645-2024-04-04T00:00:00Z,86645
19396,Matiko Holdings,ocds-9t57fa-88498,ocds-9t57fa-88498-2024-04-26T00:00:00Z,88498
20780,Tunimart Travel Agency,ocds-9t57fa-89099,ocds-9t57fa-89099-2024-05-02T00:00:00Z,89099
20553,Devomix,ocds-9t57fa-89703,ocds-9t57fa-89703-2024-05-10T00:00:00Z,89703
18981,Spear One Pty Ltd,ocds-9t57fa-89800,ocds-9t57fa-89800-2024-05-10T00:00:00Z,89800
19565,V3 CONSULTING ENGINEERS (PTY) LTD,ocds-9t57fa-90365,ocds-9t57fa-90365-2024-05-17T00:00:00Z,90365
26093,Africa-One Consulting and Research (Pty) Ltd,ocds-9t57fa-91143,ocds-9t57fa-91143-2024-05-24T00:00:00Z,91143
20618,Mali Mobile,ocds-9t57fa-93457,ocds-9t57fa-93457-2024-06-21T00:00:00Z,93457
19771,Mysy Property Investments ,ocds-9t57fa-94358,ocds-9t57fa-94358-2024-03-01T00:00:00Z,94358
20433,Refer to the attachment ,ocds-9t57fa-94519,ocds-9t57fa-94519-2024-07-05T00:00:00Z,94519
20434,MAAA0365703; MAAA0913707,ocds-9t57fa-94541,ocds-9t57fa-94541-2024-07-05T00:00:00Z,94541
20984,1. Enterprises University of Pretoria- R50 665.182,ocds-9t57fa-96577,ocds-9t57fa-96577-2024-07-26T00:00:00Z,96577
23195,OMEGA RISK SOLUTIONS (Pty) Ltd,ocds-9t57fa-96706,ocds-9t57fa-96706-2024-07-26T00:00:00Z,96706
21731,Knowledge Translation Foundation NPC,ocds-9t57fa-96885,ocds-9t57fa-96885-2024-08-02T00:00:00Z,96885
23655,ZIYENZEKA WEED CONTROL & GENERAL SERVICES CC,ocds-9t57fa-99306,ocds-9t57fa-99306-2024-08-22T00:00:00Z,99306
21931,MAAA0353313 - (MAYIBUYE I-AFRIKA TRADING),ocds-9t57fa-99353,ocds-9t57fa-99353-2024-08-23T00:00:00Z,99353
22349,PKF GEORGE CONSULTING,ocds-9t57fa-101659,ocds-9t57fa-101659-2024-09-12T00:00:00Z,101659
21993,MAAA0005470 - (MASHAU NORTH TRADING),ocds-9t57fa-103094,ocds-9t57fa-103094-2024-09-27T00:00:00Z,103094
22213,TRILAB SUPPORT,ocds-9t57fa-106162,ocds-9t57fa-106162-2024-10-25T00:00:00Z,106162
22619,PHOLELA BUSINESS ADVISORY,ocds-9t57fa-106813,ocds-9t57fa-106813-2024-11-01T00:00:00Z,106813
22614,Opening Certificate attached,ocds-9t57fa-107549,ocds-9t57fa-107549-2024-11-09T00:00:00Z,107549
22776,MAAA0344860 - (CHEMTECH LABORATORY SERVICES),ocds-9t57fa-109164,ocds-9t57fa-109164-2024-11-22T00:00:00Z,109164
22719,VIKIPATH (Pty) Ltd ,ocds-9t57fa-109897,ocds-9t57fa-109897-2024-11-29T00:00:00Z,109897
23305,MAAA0080068 - (University of Cape Town),ocds-9t57fa-110370,ocds-9t57fa-110370-2024-12-06T00:00:00Z,110370
30776,IKAMVA ARCHITECTS,ocds-9t57fa-143068,ocds-9t57fa-143068-2024-05-24T00:00:00Z,143068
30787,SRSQS QUANTITY SURVEYORS,ocds-9t57fa-144901,ocds-9t57fa-144901-2024-04-26T00:00:00Z,144901
18998,BONSOLO TRADING (PTY) LTD,ocds-9t57fa-79413,ocds-9t57fa-79413-2024-01-27T00:00:00Z,79413
17210,INSTATOLL AFRICA (PTY) LTD,ocds-9t57fa-81017,ocds-9t57fa-81017-2024-02-09T00:00:00Z,81017
18208,no bids received ,ocds-9t57fa-86757,ocds-9t57fa-86757-2024-04-05T00:00:00Z,86757
19492,Lawula Systems Pty Ltd,ocds-9t57fa-87293,ocds-9t57fa-87293-2024-04-13T00:00:00Z,87293
24861,MAAA0132986 - (H AND P GROUP),ocds-9t57fa-87403,ocds-9t57fa-87403-2024-04-12T00:00:00Z,87403
19764,Royal Haskoning DHV (Pty)Ltd,ocds-9t57fa-91127,ocds-9t57fa-91127-2024-05-24T00:00:00Z,91127
20164,PMAX CONSULTING ,ocds-9t57fa-91568,ocds-9t57fa-91568-2024-05-31T00:00:00Z,91568
19514,KEYSTONE RADIOLOGY AND TRIPLE-M-RADIOLOGISTS,ocds-9t57fa-91639,ocds-9t57fa-91639-2024-05-31T00:00:00Z,91639
21060,Argantic GACS (Pty) Ltd,ocds-9t57fa-96730,ocds-9t57fa-96730-2024-07-26T00:00:00Z,96730
21159,Project Insight,ocds-9t57fa-97367,ocds-9t57fa-97367-2024-08-02T00:00:00Z,97367
21160,maaa0254180,ocds-9t57fa-97435,ocds-9t57fa-97435-2024-08-02T00:00:00Z,97435
21471,Cheddar Investments (Pty) Ltd,ocds-9t57fa-97991,ocds-9t57fa-97991-2024-08-08T00:00:00Z,97991
62260,M TECHNOLOGIES,ocds-9t57fa-111129,ocds-9t57fa-111129-2024-12-13T00:00:00Z,111129
21505,ITAC 01-2024/2025 received bids,ocds-9t57fa-97919,ocds-9t57fa-97919-2024-08-08T00:00:00Z,97919
21597,Grinaker-LTA Civil Engineering (Pty) Ltd ,ocds-9t57fa-100176,ocds-9t57fa-100176-2024-08-30T00:00:00Z,100176
31404,BEARING MAN GROUP,ocds-9t57fa-100356,ocds-9t57fa-100356-2024-08-30T00:00:00Z,100356
31405,MORNACH HOLDINGS,ocds-9t57fa-100356,ocds-9t57fa-100356-2024-08-30T00:00:00Z,100356
22022,Prime Time Express,ocds-9t57fa-101713,ocds-9t57fa-101713-2024-09-12T00:00:00Z,101713
21821,AJ WILSON AND ASSOCIATES INTERNATIONAL CC,ocds-9t57fa-101858,ocds-9t57fa-101858-2024-09-13T00:00:00Z,101858
21828,4. THE WATER ACADEMY (PTY) LTD ,ocds-9t57fa-101858,ocds-9t57fa-101858-2024-09-13T00:00:00Z,101858
28012,MAAA0003731 - (ALLENCO MEDICAL AND DENTAL SUPPLIES),ocds-9t57fa-101977,ocds-9t57fa-101977-2024-09-13T00:00:00Z,101977
28013,B Braun Medical (Pty) Ltd,ocds-9t57fa-101977,ocds-9t57fa-101977-2024-09-13T00:00:00Z,101977
21818,MAAA0240261,ocds-9t57fa-102572,ocds-9t57fa-102572-2024-09-20T00:00:00Z,102572
21816,MAAA0069461 - (GEM PRINT),ocds-9t57fa-102572,ocds-9t57fa-102572-2024-09-20T00:00:00Z,102572
22008,MAAA0183804 - (LEGENDS GAMING PROMOTIONS),ocds-9t57fa-103058,ocds-9t57fa-103058-2024-09-27T00:00:00Z,103058
22016,EASTERN CAPE JAZZ FESTIVAL ORGANISATION,ocds-9t57fa-103058,ocds-9t57fa-103058-2024-09-27T00:00:00Z,103058
22259,MAAA0291966,ocds-9t57fa-104546,ocds-9t57fa-104546-2024-10-11T00:00:00Z,104546
22270,IZIPHUMO COMMODITY TRADERS,ocds-9t57fa-104546,ocds-9t57fa-104546-2024-10-11T00:00:00Z,104546
22773,MAAA0001713 - (DIGES GROUP),ocds-9t57fa-105276,ocds-9t57fa-105276-2024-10-18T00:00:00Z,105276
22228,05. Le Blaq Pty Ltd- R2 709 860.00,ocds-9t57fa-105394,ocds-9t57fa-105394-2024-10-18T00:00:00Z,105394
26103,Africawide Mobile (Pty) Ltd,ocds-9t57fa-109158,ocds-9t57fa-109158-2024-11-22T00:00:00Z,109158
26110,MVNO Worx (Pty) Ltd,ocds-9t57fa-109158,ocds-9t57fa-109158-2024-11-22T00:00:00Z,109158
80550,TECMED,ocds-9t57fa-109172,ocds-9t57fa-109172-2024-11-22T00:00:00Z,109172
23031,Elite Online Solutions (Pty) Ltd ,ocds-9t57fa-109262,ocds-9t57fa-109262-2024-11-22T00:00:00Z,109262
23835,RA War Concepts,ocds-9t57fa-109901,ocds-9t57fa-109901-2024-11-29T00:00:00Z,109901
23831,Aztec components,ocds-9t57fa-109901,ocds-9t57fa-109901-2024-11-29T00:00:00Z,109901
23901,MAAA0710821 - (TRASH CONVERTERS),ocds-9t57fa-110379,ocds-9t57fa-110379-2024-11-22T00:00:00Z,110379
23371,Manyawusi / Eltek JV,ocds-9t57fa-110983,ocds-9t57fa-110983-2024-12-13T00:00:00Z,110983
