id,title,description,status,value_amount,value_currency,main_ocid,main_id
10937,DATACENTRIX,EME,active,0.0,ZAR,ocds-9t57fa-23098,ocds-9t57fa-23098-2017-10-11T00:00:00Z
7124,CITY INSIGHT,EME,active,0.0,ZAR,ocds-9t57fa-44011,ocds-9t57fa-44011-2017-07-04T00:00:00Z
57480,Nkululeko Trust,EME,active,100.0,ZAR,ocds-9t57fa-139259,ocds-9t57fa-139259-2017-03-31T00:00:00Z
8787,Carol  And Pearls Events,EME,active,0.0,ZAR,ocds-9t57fa-47448,ocds-9t57fa-47448-2017-08-20T00:00:00Z
9257,DRILL PRESS HOLDINGS,EME,active,0.0,ZAR,ocds-9t57fa-48685,ocds-9t57fa-48685-2017-08-29T00:00:00Z
11718,ACTOM,GEN,active,0,ZAR,ocds-9t57fa-54781,ocds-9t57fa-54781-2017-11-08T00:00:00Z
58012,SIDIKI APHIWE GROUP,EME,active,10.0,ZAR,ocds-9t57fa-140212,ocds-9t57fa-140212-2017-10-19T00:00:00Z
6970,Liwana Consumables,EME,active,0.0,ZAR,ocds-9t57fa-44064,ocds-9t57fa-44064-2017-06-27T00:00:00Z
7728,LOTANANG WA TAU,EME,active,0.0,ZAR,ocds-9t57fa-45238,ocds-9t57fa-45238-2017-07-18T00:00:00Z
11128,CITRINE CONSTRUCTION,EME,active,0.0,ZAR,ocds-9t57fa-52945,ocds-9t57fa-52945-2017-10-18T00:00:00Z
66896,IDEMIA SOUTH AFRICA,Qualifying small enterprise,active,40988571600.0,ZAR,ocds-9t57fa-153178,ocds-9t57fa-153178-2017-11-17T00:00:00Z
57452,BUSIBYTE,EME,active,100.0,ZAR,ocds-9t57fa-139210,ocds-9t57fa-139210-2017-07-13T00:00:00Z
9638,SIMPLY IT AND NEXTGEN TECHNOLOGY,EME,active,0.0,ZAR,ocds-9t57fa-50248,ocds-9t57fa-50248-2017-09-15T00:00:00Z
13865,DELOITTE CONSULTING,EME,active,0,ZAR,ocds-9t57fa-57492,ocds-9t57fa-57492-2017-12-04T00:00:00Z
