id,name,main_ocid,main_id,awards_id
0,DATACENTRIX,ocds-9t57fa-23098,ocds-9t57fa-23098-2017-10-11T00:00:00Z,10937
0,CITY INSIGHT,ocds-9t57fa-44011,ocds-9t57fa-44011-2017-07-04T00:00:00Z,7124
65706,Nkululeko Trust,ocds-9t57fa-139259,ocds-9t57fa-139259-2017-03-31T00:00:00Z,57480
0,Carol  And Pearls Events,ocds-9t57fa-47448,ocds-9t57fa-47448-2017-08-20T00:00:00Z,8787
0,DRILL PRESS HOLDINGS,ocds-9t57fa-48685,ocds-9t57fa-48685-2017-08-29T00:00:00Z,9257
0,ACTOM,ocds-9t57fa-54781,ocds-9t57fa-54781-2017-11-08T00:00:00Z,11718
191351,SIDIKI APHIWE GROUP,ocds-9t57fa-140212,ocds-9t57fa-140212-2017-10-19T00:00:00Z,58012
0,Liwana Consumables,ocds-9t57fa-44064,ocds-9t57fa-44064-2017-06-27T00:00:00Z,6970
0,LOTANANG WA TAU,ocds-9t57fa-45238,ocds-9t57fa-45238-2017-07-18T00:00:00Z,7728
0,CITRINE CONSTRUCTION,ocds-9t57fa-52945,ocds-9t57fa-52945-2017-10-18T00:00:00Z,11128
729889,IDEMIA SOUTH AFRICA,ocds-9t57fa-153178,ocds-9t57fa-153178-2017-11-17T00:00:00Z,66896
249609,BUSIBYTE,ocds-9t57fa-139210,ocds-9t57fa-139210-2017-07-13T00:00:00Z,57452
0,SIMPLY IT AND NEXTGEN TECHNOLOGY,ocds-9t57fa-50248,ocds-9t57fa-50248-2017-09-15T00:00:00Z,9638
0,DELOITTE CONSULTING,ocds-9t57fa-57492,ocds-9t57fa-57492-2017-12-04T00:00:00Z,13865
