id,title,description,status,value_amount,value_currency,main_ocid,main_id
45971, HAMBA NATHI TRAVEL,EME,active,10.0,ZAR,ocds-9t57fa-119523,ocds-9t57fa-119523-2019-08-09T00:00:00Z
45994, STORIZ INVESTMENTS,EME,active,10.0,ZAR,ocds-9t57fa-119530,ocds-9t57fa-119530-2019-06-07T00:00:00Z
51500,DEN ENGINEERING,EME,active,340693324.0,ZAR,ocds-9t57fa-120358,ocds-9t57fa-120358-2019-10-21T00:00:00Z
49144,STORIZ INVESTMENTS,EME,active,10.0,ZAR,ocds-9t57fa-125559,ocds-9t57fa-125559-2019-08-02T00:00:00Z
66281,Roads and Public Works - Northern Cape,EME,active,400000000.0,ZAR,ocds-9t57fa-152521,ocds-9t57fa-152521-2019-01-21T00:00:00Z
45975, KASIPU CONSULTING,EME,active,10.0,ZAR,ocds-9t57fa-119526,ocds-9t57fa-119526-2019-09-12T00:00:00Z
58020,DAVLYNN SUPPLIERS,EME,active,10.0,ZAR,ocds-9t57fa-125566,ocds-9t57fa-125566-2019-08-02T00:00:00Z
4148,Lawtons,GEN,active,0.0,ZAR,ocds-9t57fa-30982,ocds-9t57fa-30982-2019-02-15T00:00:00Z
45976, JENN TRAINING AND CONSULTANCY,EME,active,10.0,ZAR,ocds-9t57fa-119527,ocds-9t57fa-119527-2019-05-03T00:00:00Z
46001, KHUMZI INVESTMENTS,EME,active,10.0,ZAR,ocds-9t57fa-119529,ocds-9t57fa-119529-2019-06-07T00:00:00Z
4045,Khampha Attorneys,QSE,active,0.0,ZAR,ocds-9t57fa-30398,ocds-9t57fa-30398-2019-02-08T00:00:00Z
4236,Liquid Telecommunications South Africa,GEN,active,0.0,ZAR,ocds-9t57fa-31523,ocds-9t57fa-31523-2019-10-18T00:00:00Z
8401,Perishable Products Export Control Board,EME,active,0.0,ZAR,ocds-9t57fa-46931,ocds-9t57fa-46931-2019-06-11T00:00:00Z
34490, (KEITH TAM PROPERTY TRUST),EME,active,0,ZAR,ocds-9t57fa-100580,ocds-9t57fa-100580-2019-05-17T00:00:00Z
49143,JENN TRAINING AND CONSULTANCY,EME,active,10.0,ZAR,ocds-9t57fa-125552,ocds-9t57fa-125552-2019-05-17T00:00:00Z
6280,BREITECH,EME,active,0.0,ZAR,ocds-9t57fa-42170,ocds-9t57fa-42170-2019-10-01T00:00:00Z
