id,name,main_ocid,main_id,awards_id
59160, HAMBA NATHI TRAVEL,ocds-9t57fa-119523,ocds-9t57fa-119523-2019-08-09T00:00:00Z,45971
640789, STORIZ INVESTMENTS,ocds-9t57fa-119530,ocds-9t57fa-119530-2019-06-07T00:00:00Z,45994
157770,DEN ENGINEERING,ocds-9t57fa-120358,ocds-9t57fa-120358-2019-10-21T00:00:00Z,51500
640789,STORIZ INVESTMENTS,ocds-9t57fa-125559,ocds-9t57fa-125559-2019-08-02T00:00:00Z,49144
323300,Roads and Public Works - Northern Cape,ocds-9t57fa-152521,ocds-9t57fa-152521-2019-01-21T00:00:00Z,66281
32099, KASIPU CONSULTING,ocds-9t57fa-119526,ocds-9t57fa-119526-2019-09-12T00:00:00Z,45975
290643,DAVLYNN SUPPLIERS,ocds-9t57fa-125566,ocds-9t57fa-125566-2019-08-02T00:00:00Z,58020
0,Lawtons,ocds-9t57fa-30982,ocds-9t57fa-30982-2019-02-15T00:00:00Z,4148
98096, JENN TRAINING AND CONSULTANCY,ocds-9t57fa-119527,ocds-9t57fa-119527-2019-05-03T00:00:00Z,45976
787, KHUMZI INVESTMENTS,ocds-9t57fa-119529,ocds-9t57fa-119529-2019-06-07T00:00:00Z,46001
0,Khampha Attorneys,ocds-9t57fa-30398,ocds-9t57fa-30398-2019-02-08T00:00:00Z,4045
0,Liquid Telecommunications South Africa,ocds-9t57fa-31523,ocds-9t57fa-31523-2019-10-18T00:00:00Z,4236
0,Perishable Products Export Control Board,ocds-9t57fa-46931,ocds-9t57fa-46931-2019-06-11T00:00:00Z,8401
362850, (KEITH TAM PROPERTY TRUST),ocds-9t57fa-100580,ocds-9t57fa-100580-2019-05-17T00:00:00Z,34490
98096,JENN TRAINING AND CONSULTANCY,ocds-9t57fa-125552,ocds-9t57fa-125552-2019-05-17T00:00:00Z,49143
0,BREITECH,ocds-9t57fa-42170,ocds-9t57fa-42170-2019-10-01T00:00:00Z,6280
