id,title,description,status,value_amount,value_currency,main_ocid,main_id
35237, (BIDVEST OFFICE),EME,active,41194764.0,ZAR,ocds-9t57fa-101990,ocds-9t57fa-101990-2022-12-23T00:00:00Z
2604,ORIZOE SERVICES,EME,active,0.0,ZAR,ocds-9t57fa-21546,ocds-9t57fa-21546-2022-04-29T00:00:00Z
10607,Indalo Group and Design,EME,active,0.0,ZAR,ocds-9t57fa-43633,ocds-9t57fa-43633-2022-12-15T00:00:00Z
10612,Funezakho Construction Contractor,EME,active,0.0,ZAR,ocds-9t57fa-43636,ocds-9t57fa-43636-2022-12-15T00:00:00Z
16950,LISHEMEMI TRADING AND PROJECTS,EME,active,0.0,ZAR,ocds-9t57fa-43691,ocds-9t57fa-43691-2022-12-15T00:00:00Z
13530,AMANANDA TRADING,EME,active,0,ZAR,ocds-9t57fa-43967,ocds-9t57fa-43967-2022-12-21T00:00:00Z
9840,NEO TECHNOLOGIES,GEN,active,0.0,ZAR,ocds-9t57fa-50704,ocds-9t57fa-50704-2022-12-15T00:00:00Z
3362,CHARL WENUM,EME,active,0.0,ZAR,ocds-9t57fa-14868,ocds-9t57fa-14868-2022-01-21T00:00:00Z
4605,RAMCOM CAPE,QSE,active,0.0,ZAR,ocds-9t57fa-15243,ocds-9t57fa-15243-2022-01-21T00:00:00Z
2886,ARUP ,GEN,active,0.0,ZAR,ocds-9t57fa-15256,ocds-9t57fa-15256-2022-01-21T00:00:00Z
4495,FeverTreeConsulting,QSE,active,0.0,ZAR,ocds-9t57fa-15307,ocds-9t57fa-15307-2022-01-21T00:00:00Z
6174,BATALALA CONSULTING ENGINEERS,EME,active,0.0,ZAR,ocds-9t57fa-16699,ocds-9t57fa-16699-2022-02-04T00:00:00Z
3193,LT Clinical Research,EME,active,0.0,ZAR,ocds-9t57fa-17292,ocds-9t57fa-17292-2022-02-11T00:00:00Z
3212,Medinel,EME,active,0.0,ZAR,ocds-9t57fa-17292,ocds-9t57fa-17292-2022-02-11T00:00:00Z
11595,SLR CONSULTING (SOUTH AFRICA),EME,active,0,ZAR,ocds-9t57fa-17962,ocds-9t57fa-17962-2022-02-18T00:00:00Z
4135,BLU TRANSFUXION LOGISTICS SOLUTION,EME,active,0.0,ZAR,ocds-9t57fa-18035,ocds-9t57fa-18035-2022-02-18T00:00:00Z
3659,QED-Quality Executive Development,EME,active,0.0,ZAR,ocds-9t57fa-18099,ocds-9t57fa-18099-2022-02-18T00:00:00Z
3253,FTA ENTERPRISES,EME,active,0.0,ZAR,ocds-9t57fa-18736,ocds-9t57fa-18736-2022-02-25T00:00:00Z
1536,PTV AFRICA,EME,active,0.0,ZAR,ocds-9t57fa-19184,ocds-9t57fa-19184-2022-03-11T00:00:00Z
3031,CAB HOLDINGS,EME,active,0.0,ZAR,ocds-9t57fa-19461,ocds-9t57fa-19461-2022-03-18T00:00:00Z
